"replication","n","tau","kappa","estimator","delta","alpha_false","W_false","rejected_false","status"
1,500,0.5,0.5,"DML-IVQR",0.25,1.25,1.33501737759534,FALSE,"OK"
1,500,0.5,0.5,"DML-IVQR",0.5,1.5,5.68288608604732,FALSE,"OK"
1,500,0.5,0.25,"Oracle-GMM",-0.5,0.5,3.14580360690108,FALSE,"OK"
1,500,0.5,0.25,"Oracle-GMM",-0.25,0.75,2.81095836476798,FALSE,"OK"
1,500,0.5,0.25,"Oracle-GMM",0.25,1.25,0.419295045889555,FALSE,"OK"
1,500,0.5,0.25,"Oracle-GMM",0.5,1.5,1.87299160187529,FALSE,"OK"
1,500,0.5,0.25,"Full-GMM",-0.5,0.5,0.405375878323745,FALSE,"OK"
1,500,0.5,0.25,"Full-GMM",-0.25,0.75,0.418522522940483,FALSE,"OK"
1,500,0.5,0.25,"Full-GMM",0.25,1.25,2.11650170535261,FALSE,"OK"
1,500,0.5,0.25,"Full-GMM",0.5,1.5,3.39051072730979,FALSE,"OK"
1,500,0.5,0.25,"DML-IVQR",-0.5,0.5,0.841050103663327,FALSE,"OK"
1,500,0.5,0.25,"DML-IVQR",-0.25,0.75,1.15975921069992,FALSE,"OK"
1,500,0.5,0.25,"DML-IVQR",0.25,1.25,0.351205078859029,FALSE,"OK"
1,500,0.5,0.25,"DML-IVQR",0.5,1.5,2.17501607293924,FALSE,"OK"
1,500,0.5,0.1,"Oracle-GMM",-0.5,0.5,2.49499197651267,FALSE,"OK"
1,500,0.5,0.1,"Oracle-GMM",-0.25,0.75,1.8486429079041,FALSE,"OK"
1,500,0.5,0.1,"Oracle-GMM",0.25,1.25,0.37855235555252,FALSE,"OK"
1,500,0.5,0.1,"Oracle-GMM",0.5,1.5,0.733050940331278,FALSE,"OK"
1,500,0.5,0.1,"Full-GMM",-0.5,0.5,0.725711063146515,FALSE,"OK"
1,500,0.5,0.1,"Full-GMM",-0.25,0.75,0.357268954259359,FALSE,"OK"
1,500,0.5,0.1,"Full-GMM",0.25,1.25,4.5573258969734,FALSE,"OK"
1,500,0.5,0.1,"Full-GMM",0.5,1.5,1.34073861795214,FALSE,"OK"
1,500,0.5,0.1,"DML-IVQR",-0.5,0.5,0.898945787988323,FALSE,"OK"
1,500,0.5,0.1,"DML-IVQR",-0.25,0.75,2.46854218234455,FALSE,"OK"
1,500,0.5,0.1,"DML-IVQR",0.25,1.25,0.105768991217739,FALSE,"OK"
1,500,0.5,0.1,"DML-IVQR",0.5,1.5,1.14292729751259,FALSE,"OK"
1,500,0.75,1,"Oracle-GMM",-0.5,1.17448975019608,14.9132168877839,TRUE,"OK"
1,500,0.75,1,"Oracle-GMM",-0.25,1.42448975019608,9.61778437688104,TRUE,"OK"
1,500,0.75,1,"Oracle-GMM",0.25,1.92448975019608,5.66823274171042,FALSE,"OK"
1,500,0.75,1,"Oracle-GMM",0.5,2.17448975019608,17.8516164169169,TRUE,"OK"
1,500,0.75,1,"Full-GMM",-0.5,1.17448975019608,3.60117242551322,FALSE,"OK"
1,500,0.75,1,"Full-GMM",-0.25,1.42448975019608,0.771553587330785,FALSE,"OK"
1,500,0.75,1,"Full-GMM",0.25,1.92448975019608,6.95842509288826,TRUE,"OK"
1,500,0.75,1,"Full-GMM",0.5,2.17448975019608,18.7099606898735,TRUE,"OK"
1,500,0.75,1,"DML-IVQR",-0.5,1.17448975019608,8.76715676574191,TRUE,"OK"
1,500,0.75,1,"DML-IVQR",-0.25,1.42448975019608,7.40027867587574,TRUE,"OK"
1,500,0.75,1,"DML-IVQR",0.25,1.92448975019608,8.00367215091703,TRUE,"OK"
1,500,0.75,1,"DML-IVQR",0.5,2.17448975019608,20.7298080393427,TRUE,"OK"
1,500,0.75,0.5,"Oracle-GMM",-0.5,1.17448975019608,2.66824762608497,FALSE,"OK"
1,500,0.75,0.5,"Oracle-GMM",-0.25,1.42448975019608,3.09604125255666,FALSE,"OK"
1,500,0.75,0.5,"Oracle-GMM",0.25,1.92448975019608,2.46489820309258,FALSE,"OK"
1,500,0.75,0.5,"Oracle-GMM",0.5,2.17448975019608,8.71927010773443,TRUE,"OK"
1,500,0.75,0.5,"Full-GMM",-0.5,1.17448975019608,0.708024431139221,FALSE,"OK"
1,500,0.75,0.5,"Full-GMM",-0.25,1.42448975019608,1.0699309771948,FALSE,"OK"
1,500,0.75,0.5,"Full-GMM",0.25,1.92448975019608,3.8205137712963,FALSE,"OK"
1,500,0.75,0.5,"Full-GMM",0.5,2.17448975019608,7.49273282758537,TRUE,"OK"
1,500,0.75,0.5,"DML-IVQR",-0.5,1.17448975019608,4.19401507965353,FALSE,"OK"
1,500,0.75,0.5,"DML-IVQR",-0.25,1.42448975019608,5.37518210979923,FALSE,"OK"
1,500,0.75,0.5,"DML-IVQR",0.25,1.92448975019608,1.53037688348496,FALSE,"OK"
1,500,0.75,0.5,"DML-IVQR",0.5,2.17448975019608,3.82096222527933,FALSE,"OK"
1,500,0.75,0.25,"Oracle-GMM",-0.5,1.17448975019608,1.85715203678047,FALSE,"OK"
