"replication","tau","estimator","accepted_measure_005","accepted_measure_0025","measure_diff_005_0025","measure_absdiff_005_0025","accepted_measure_010","measure_diff_010_0025","measure_absdiff_010_0025","component_diff_005_0025","component_diff_010_0025","n_components_0025","components_missed_by_005","components_missed_by_010","any_accepted_changed_005","all_accepted_changed_005","left_endpoint_changed_005","right_endpoint_changed_005","any_accepted_changed_010","all_accepted_changed_010","left_endpoint_changed_010","right_endpoint_changed_010","comparison_status"
5,0.1,"Oracle-GMM",4,4,0,0,4,0,0,0,0,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
5,0.5,"DML-IVQR",3.85,3.875,-0.0249999999999999,0.0249999999999999,3.9,0.0250000000000004,0.0250000000000004,0,-1,3,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
5,0.5,"Full-GMM",3.95,3.975,-0.0249999999999999,0.0249999999999999,3.9,-0.0749999999999997,0.0749999999999997,0,0,2,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
5,0.5,"Oracle-GMM",4,4,0,0,4,0,0,0,0,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
5,0.9,"DML-IVQR",3.45,3.475,-0.0249999999999999,0.0249999999999999,3.4,-0.0749999999999997,0.0749999999999997,-3,-4,8,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
5,0.9,"Full-GMM",3.8,3.825,-0.0249999999999999,0.0249999999999999,3.7,-0.125,0.125,-3,-4,8,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
5,0.9,"Oracle-GMM",4,4,0,0,4,0,0,0,0,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
6,0.1,"DML-IVQR",4,4,0,0,4,0,0,0,0,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
6,0.1,"Full-GMM",3.9,3.95,-0.0499999999999998,0.0499999999999998,4,0.0499999999999998,0.0499999999999998,0,-2,3,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"complete"
6,0.1,"Oracle-GMM",3.65,3.65,0,0,3.9,0.25,0.25,-1,-5,7,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
6,0.5,"DML-IVQR",4,3.975,0.0249999999999999,0.0249999999999999,4,0.0249999999999999,0.0249999999999999,-1,-1,2,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"complete"
6,0.5,"Full-GMM",3.775,3.7875,-0.0124999999999997,0.0124999999999997,3.85,0.0625,0.0625,-4,-5,7,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
6,0.5,"Oracle-GMM",4,4,0,0,4,0,0,0,0,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
6,0.9,"DML-IVQR",4,4,0,0,4,0,0,0,0,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
6,0.9,"Full-GMM",3.8,3.8,0,0,3.9,0.1,0.1,-2,-4,6,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
6,0.9,"Oracle-GMM",4,4,0,0,4,0,0,0,0,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
7,0.1,"DML-IVQR",4,4,0,0,4,0,0,0,0,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"complete"
