"replication","n","kappa","tau","estimator","alpha","W","critical_value","accepted","status"
1,500,0.1,0.1,"Full-GMM",0.6,1.0610425067333,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",0.65,2.12748564593026,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",0.7,5.4867286044331,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",0.75,3.78405803637367,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",0.8,2.05766805444621,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",0.85,2.13019854092047,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",0.9,0.59088794938806,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",0.95,0.399876874088658,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",1,0.924262740689869,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",1.05,1.53737233490992,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",1.1,2.34680953411478,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",1.15,0.922341230157664,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",1.2,0.170839178481114,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",1.25,0.509119213872779,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",1.3,0.70382084713249,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",1.35,5.13887149314576,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",1.4,0.147496086779187,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",1.45,0.083168494920614,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",1.5,1.85087441969807,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",1.55,0.271942973544855,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",1.6,1.45738856582158,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",1.65,0.427788124961747,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",1.7,1.1531627661384,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",1.75,1.18803747375786,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",1.8,2.55240318759737,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",1.85,0.428337654631394,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",1.9,1.28113984797554,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",1.95,1.19525612882559,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",2,0.533859439006774,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",2.05,1.51237411912561,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",2.1,1.86140222145942,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",2.15,0.337959669171889,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",2.2,0.273653429940622,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",2.25,2.3585965065242,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",2.3,1.16001223737211,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",2.35,1.56541741652146,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",2.4,0.60688573320158,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",2.45,0.31532109976783,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",2.5,0.0602199633335582,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",2.55,0.154834983011749,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",2.6,0.752142334330693,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",2.65,0.206183436635936,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",2.7,3.39992895612606,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",2.75,0.052044727207232,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",2.8,1.74056450618588,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",2.85,2.02333622430298,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",2.9,0.77428525998864,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",2.95,0.0467159169824722,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"Full-GMM",3,1.30047030560315,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",-1,0.135215068611733,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",-0.95,0.584892845348852,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",-0.9,0.318334033195887,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",-0.85,0.303976010646513,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",-0.8,0.520957002466707,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",-0.75,1.19235420803128,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",-0.7,0.913766435631172,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",-0.65,0.0108919590451229,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",-0.6,0.790858367409624,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",-0.55,1.15324790072226,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",-0.5,0.146985654871825,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",-0.45,0.382644679728074,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",-0.4,0.410025389583484,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",-0.35,0.819879799675864,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",-0.3,0.840545311925003,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",-0.25,4.17045632271494,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",-0.2,2.5248194233034,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",-0.15,1.79978160666531,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",-0.1,3.65207182791658,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",-0.0499999999999999,1.63983112596223,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",0,2.24735258613538,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",0.05,3.78761508704771,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",0.1,3.97557783618851,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",0.15,2.17079727948687,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",0.2,3.36455127202309,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",0.25,3.09275893372447,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",0.3,3.47955388796179,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",0.35,5.14498366280468,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",0.4,2.54027477963231,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",0.45,4.20152106689067,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",0.5,1.47869182824245,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",0.55,1.43055349604844,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",0.6,1.44914774741985,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",0.65,7.53919245532864,5.99146454710798,FALSE,"OK"
1,500,0.1,0.1,"DML-IVQR",0.7,2.51556372185506,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",0.75,1.38473712131419,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",0.8,1.36460779072189,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",0.85,1.34395302006961,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",0.9,1.02410280088643,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",0.95,2.20130672922992,5.99146454710798,TRUE,"OK"
