"replication","n","kappa","first_stage_F","partial_R2","beta_Z1","beta_Z2","R2_restricted","R2_unrestricted","RSS_restricted","RSS_unrestricted","nested_F","partial_R2_from_model_R2","cov_z1_d_latent","cov_z2_d_latent","status"
12,500,1,90.3480656632468,0.270626296677067,0.0992781217782164,0.0936972561289761,0.0150079871479398,0.281572727842583,66.3297316326412,48.3791620013158,90.3480656632468,0.270626296677067,0.974983291194553,0.995828128480668,"OK"
12,500,0.5,22.0859839076803,0.0831594483365415,0.0468316352909515,0.0609815473089103,0.0185722016685224,0.100187195959915,68.687261881379,62.975267075576,22.0859839076803,0.0831594483365415,0.427988124839921,0.522277802068059,"OK"
12,500,0.25,7.38305879805266,0.0294282875592474,0.0216939663804089,0.0395749629892917,0.0212958554902956,0.0500974424903544,67.3700548660564,65.3874695185758,7.38305879805266,0.0294282875592475,0.177906568311691,0.281164342963251,"OK"
12,500,0.1,2.52402854351439,0.0102592765367549,0.0066711495607091,0.0254191783301415,0.022466047990465,0.0324948391281977,66.7779754505069,66.0928817337955,2.52402854351439,0.0102592765367549,0.0303062278808438,0.136042615681593,"OK"
13,500,1,99.0748736807538,0.289206480954823,0.106931844914365,0.106015835279814,0.0170989743958466,0.30136032113771,68.3680053742913,48.5955351300921,99.0748736807538,0.289206480954823,0.90031970384166,1.00535479027097,"OK"
13,500,0.5,16.7482808520544,0.0643550105200326,0.047506954943853,0.0520814426515074,0.0150436005293163,0.0784304799790255,67.8270652351485,63.4620537383976,16.7482808520544,0.0643550105200325,0.397525247142062,0.499650575737745,"OK"
13,500,0.25,3.56545527829082,0.0144312173236633,0.0181525890315888,0.0274624038463833,0.0145007719997499,0.0287227255313239,67.5143687112486,66.5400541839066,3.56545527829082,0.0144312173236634,0.168758475172301,0.251868114070727,"OK"
13,500,0.1,0.623034199423011,0.00255213196684282,0.000997128898235825,0.0133888755166242,0.0142867196410396,0.0168023900139852,67.5894366963729,67.4169395343592,0.623034199423011,0.00255213196684286,0.0338648590785787,0.103728765489739,"OK"
14,500,1,96.3121366693243,0.283427595062759,0.0940162057070942,0.0926541628273114,0.0167236359524174,0.295411291096478,64.7787552127647,46.4186684116516,96.3121366693243,0.283427595062759,0.999944591572683,0.988302064753821,"OK"
14,500,0.5,10.701848775764,0.0420998070128289,0.0396088885696592,0.0324961691409284,0.00615803627479006,0.0479985911488723,64.9595657289415,62.2247805481159,10.701848775764,0.0420998070128289,0.457783521020666,0.451587473858316,"OK"
