"replication","tau","estimator","component_id","first_accepted_alpha","last_accepted_alpha","n_gridpoints"
2,0.1,"DML-IVQR",16,27,27,1
2,0.1,"DML-IVQR",17,27.6,27.6,1
2,0.1,"DML-IVQR",18,28.2,29,5
2,0.1,"DML-IVQR",19,29.4,30,4
2,0.1,"DML-IVQR",20,30.4,31.2,5
2,0.1,"DML-IVQR",21,31.6,31.6,1
2,0.1,"DML-IVQR",22,32,32,1
2,0.1,"DML-IVQR",23,32.6,32.6,1
2,0.1,"DML-IVQR",24,33.2,35.8,14
2,0.1,"DML-IVQR",25,36.6,39,13
2,0.1,"DML-IVQR",26,39.4,39.8,3
2,0.5,"Oracle-GMM",1,-39.8,-39.8,1
2,0.5,"Oracle-GMM",2,-39.4,-38.8,4
2,0.5,"Oracle-GMM",3,-38.4,-38.4,1
2,0.5,"Oracle-GMM",4,-38,-38,1
2,0.5,"Oracle-GMM",5,-37.4,-37.2,2
2,0.5,"Oracle-GMM",6,-36.8,-36.6,2
2,0.5,"Oracle-GMM",7,-36,-35.8,2
2,0.5,"Oracle-GMM",8,-35.4,-35.2,2
2,0.5,"Oracle-GMM",9,-34.6,-34.4,2
2,0.5,"Oracle-GMM",10,-33.8,-33.6,2
2,0.5,"Oracle-GMM",11,-33,-32.4,4
2,0.5,"Oracle-GMM",12,-31.8,-31.8,1
2,0.5,"Oracle-GMM",13,-31.4,-30.4,6
2,0.5,"Oracle-GMM",14,-30,-30,1
2,0.5,"Oracle-GMM",15,-29.4,-29.2,2
2,0.5,"Oracle-GMM",16,-28,-28,1
2,0.5,"Oracle-GMM",17,-27.6,-27.4,2
2,0.5,"Oracle-GMM",18,-27,-26.8,2
2,0.5,"Oracle-GMM",19,-26.4,-26,3
2,0.5,"Oracle-GMM",20,-25.4,-24,8
2,0.5,"Oracle-GMM",21,-23.6,-23.4,2
2,0.5,"Oracle-GMM",22,-22.8,-22.8,1
2,0.5,"Oracle-GMM",23,-22,-22,1
2,0.5,"Oracle-GMM",24,-21.6,-21.4,2
2,0.5,"Oracle-GMM",25,-21,-20.2,5
2,0.5,"Oracle-GMM",26,-19.2,-19.2,1
2,0.5,"Oracle-GMM",27,-18.6,-17.8,5
2,0.5,"Oracle-GMM",28,-17,-15.2,10
2,0.5,"Oracle-GMM",29,-14.8,-14.8,1
2,0.5,"Oracle-GMM",30,-13.8,-13.6,2
2,0.5,"Oracle-GMM",31,-13,-12.8,2
2,0.5,"Oracle-GMM",32,-12.4,-12.4,1
2,0.5,"Oracle-GMM",33,-12,40,261
2,0.5,"Full-GMM",1,-39.8,-39.8,1
2,0.5,"Full-GMM",2,-38.8,-38.6,2
2,0.5,"Full-GMM",3,-38,-38,1
2,0.5,"Full-GMM",4,-37.4,-37.4,1
2,0.5,"Full-GMM",5,-36.6,-36.2,3
2,0.5,"Full-GMM",6,-35.6,-35.6,1
2,0.5,"Full-GMM",7,-32.8,-32.8,1
2,0.5,"Full-GMM",8,-32.4,-32.4,1
2,0.5,"Full-GMM",9,-31,-31,1
2,0.5,"Full-GMM",10,-30.6,-30.4,2
2,0.5,"Full-GMM",11,-30,-29.8,2
2,0.5,"Full-GMM",12,-29.4,-28.8,4
2,0.5,"Full-GMM",13,-28.4,-28.4,1
2,0.5,"Full-GMM",14,-27.8,-26.8,6
2,0.5,"Full-GMM",15,-26,-25.8,2
2,0.5,"Full-GMM",16,-25.4,-24.8,4
2,0.5,"Full-GMM",17,-24.4,-24.2,2
2,0.5,"Full-GMM",18,-23.8,-23.2,4
2,0.5,"Full-GMM",19,-22.8,-22.8,1
2,0.5,"Full-GMM",20,-22,-21.8,2
2,0.5,"Full-GMM",21,-21.4,-21.4,1
2,0.5,"Full-GMM",22,-21,-19.6,8
2,0.5,"Full-GMM",23,-19.2,-18.8,3
2,0.5,"Full-GMM",24,-17.4,-17,3
2,0.5,"Full-GMM",25,-16.6,-15.4,7
2,0.5,"Full-GMM",26,-15,-14.8,2
2,0.5,"Full-GMM",27,-14.2,-14,2
2,0.5,"Full-GMM",28,-13.6,-13.4,2
2,0.5,"Full-GMM",29,-12.4,-12.2,2
2,0.5,"Full-GMM",30,-11.4,-11.2,2
2,0.5,"Full-GMM",31,-10.8,-10.8,1
2,0.5,"Full-GMM",32,-10.4,-10.4,1
2,0.5,"Full-GMM",33,-10,-10,1
2,0.5,"Full-GMM",34,-9.4,-9.4,1
2,0.5,"Full-GMM",35,-8.8,-8.8,1
2,0.5,"Full-GMM",36,-8.2,-7.8,3
2,0.5,"Full-GMM",37,-6.6,-6.4,2
2,0.5,"Full-GMM",38,-5.8,-5.8,1
2,0.5,"Full-GMM",39,-5.4,1.8,37
2,0.5,"Full-GMM",40,2.2,2.40000000000001,2
2,0.5,"Full-GMM",41,2.8,3,2
2,0.5,"Full-GMM",42,3.40000000000001,4.8,8
2,0.5,"Full-GMM",43,5.40000000000001,5.40000000000001,1
2,0.5,"Full-GMM",44,7.8,7.8,1
2,0.5,"Full-GMM",45,8.6,8.8,2
2,0.5,"Full-GMM",46,9.2,9.2,1
2,0.5,"Full-GMM",47,10.6,10.6,1
2,0.5,"Full-GMM",48,11,11,1
2,0.5,"Full-GMM",49,11.4,11.8,3
2,0.5,"Full-GMM",50,12.4,12.4,1
2,0.5,"Full-GMM",51,12.8,13.2,3
2,0.5,"Full-GMM",52,13.6,14.6,6
2,0.5,"Full-GMM",53,15.2,15.8,4
2,0.5,"Full-GMM",54,16.2,16.2,1
2,0.5,"Full-GMM",55,16.6,16.8,2
2,0.5,"Full-GMM",56,18.4,18.6,2
2,0.5,"Full-GMM",57,19,19,1
2,0.5,"Full-GMM",58,19.6,20,3
2,0.5,"Full-GMM",59,21.2,21.4,2
2,0.5,"Full-GMM",60,21.8,21.8,1
2,0.5,"Full-GMM",61,24.2,24.2,1
2,0.5,"Full-GMM",62,25.8,26,2
2,0.5,"Full-GMM",63,26.4,26.6,2
2,0.5,"Full-GMM",64,27,27,1
2,0.5,"Full-GMM",65,27.6,28.4,5
2,0.5,"Full-GMM",66,29,29.2,2
2,0.5,"Full-GMM",67,29.6,29.8,2
2,0.5,"Full-GMM",68,30.8,31,2
2,0.5,"Full-GMM",69,31.4,31.4,1
2,0.5,"Full-GMM",70,32,32.6,4
2,0.5,"Full-GMM",71,34.2,34.2,1
2,0.5,"Full-GMM",72,34.8,34.8,1
2,0.5,"Full-GMM",73,35.2,35.2,1
2,0.5,"Full-GMM",74,35.6,35.6,1
2,0.5,"Full-GMM",75,36.4,36.6,2
2,0.5,"Full-GMM",76,37,37,1
2,0.5,"Full-GMM",77,37.4,37.4,1
2,0.5,"Full-GMM",78,37.8,38,2
2,0.5,"Full-GMM",79,38.8,38.8,1
2,0.5,"Full-GMM",80,40,40,1
2,0.5,"DML-IVQR",1,-40,-39.8,2
2,0.5,"DML-IVQR",2,-38.4,-38.4,1
2,0.5,"DML-IVQR",3,-37.4,-37.4,1
2,0.5,"DML-IVQR",4,-36.6,-36.6,1
2,0.5,"DML-IVQR",5,-34.2,-34.2,1
2,0.5,"DML-IVQR",6,-25.6,-25.6,1
2,0.5,"DML-IVQR",7,-25,-24.8,2
2,0.5,"DML-IVQR",8,-19.6,-19.6,1
2,0.5,"DML-IVQR",9,-5.6,-4.8,5
2,0.5,"DML-IVQR",10,-4,-4,1
2,0.5,"DML-IVQR",11,-3.6,40,219
2,0.9,"Oracle-GMM",1,-39.8,-39.6,2
2,0.9,"Oracle-GMM",2,-39.2,-38.6,4
2,0.9,"Oracle-GMM",3,-38.2,-38.2,1
2,0.9,"Oracle-GMM",4,-37,-36,6
2,0.9,"Oracle-GMM",5,-35.2,-35.2,1
2,0.9,"Oracle-GMM",6,-34.8,-34.8,1
2,0.9,"Oracle-GMM",7,-34,-34,1
2,0.9,"Oracle-GMM",8,-33.6,-33.4,2
2,0.9,"Oracle-GMM",9,-33,-32.4,4
2,0.9,"Oracle-GMM",10,-32,-32,1
2,0.9,"Oracle-GMM",11,-31.4,-31.4,1
2,0.9,"Oracle-GMM",12,-28.6,-28.6,1
2,0.9,"Oracle-GMM",13,-28.2,-28,2
2,0.9,"Oracle-GMM",14,-27.6,-27.6,1
2,0.9,"Oracle-GMM",15,-27.2,-27.2,1
2,0.9,"Oracle-GMM",16,-26.6,-26.2,3
2,0.9,"Oracle-GMM",17,-21.8,-21.8,1
2,0.9,"Oracle-GMM",18,-12,-12,1
2,0.9,"Oracle-GMM",19,-10.8,-10.8,1
2,0.9,"Oracle-GMM",20,-9.8,-9.8,1
2,0.9,"Oracle-GMM",21,-9.2,-9.2,1
2,0.9,"Oracle-GMM",22,-8.4,-6.8,9
2,0.9,"Oracle-GMM",23,-6.2,-5.6,4
2,0.9,"Oracle-GMM",24,-5,-5,1
2,0.9,"Oracle-GMM",25,-4.4,-4.4,1
2,0.9,"Oracle-GMM",26,-3.8,40,220
2,0.9,"Full-GMM",1,-40,-39.8,2
2,0.9,"Full-GMM",2,-39.4,-38.6,5
2,0.9,"Full-GMM",3,-38.2,-33.2,26
2,0.9,"Full-GMM",4,-32.8,-31.6,7
2,0.9,"Full-GMM",5,-31.2,-22.6,44
2,0.9,"Full-GMM",6,-22.2,-19.4,15
2,0.9,"Full-GMM",7,-19,-13.4,29
2,0.9,"Full-GMM",8,-13,-12.6,3
2,0.9,"Full-GMM",9,-12.2,-8.2,21
2,0.9,"Full-GMM",10,-7.8,-7.4,3
2,0.9,"Full-GMM",11,-7,-1.8,27
2,0.9,"Full-GMM",12,-1.4,2.6,21
2,0.9,"Full-GMM",13,3,5.8,15
2,0.9,"Full-GMM",14,6.2,6.2,1
2,0.9,"Full-GMM",15,6.6,9,13
2,0.9,"Full-GMM",16,9.40000000000001,13.2,20
2,0.9,"Full-GMM",17,13.6,16.2,14
2,0.9,"Full-GMM",18,16.6,25.8,47
2,0.9,"Full-GMM",19,26.2,35,45
2,0.9,"Full-GMM",20,35.4,40,24
2,0.9,"DML-IVQR",1,-29.6,-29.6,1
2,0.9,"DML-IVQR",2,-21.6,-21.6,1
2,0.9,"DML-IVQR",3,-20.4,-20.4,1
2,0.9,"DML-IVQR",4,-19,-19,1
2,0.9,"DML-IVQR",5,-18.4,-18,3
2,0.9,"DML-IVQR",6,-17.6,-15,14
2,0.9,"DML-IVQR",7,-14.6,40,274
3,0.1,"Oracle-GMM",1,-40,0.600000000000001,204
3,0.1,"Oracle-GMM",2,1.2,9.8,44
