"sample_size","tau","estimator_code","estimator","source_authors","RMSE_authors","MAE_authors","BIAS_authors","source_replication","RMSE_replication","MAE_replication","BIAS_replication","RMSE_difference","MAE_difference","BIAS_difference"
1000,0.75,"fullgmm","full-GMM","Authors",0.17474221413596,0.145232629102747,0.117489750196082,"Replication",0.172946093343744,0.14381221911059,0.121889750196082,-0.00179612079221542,-0.00142040999215673,0.00439999999999996
1000,0.75,"hdm","DML-IVQR","Authors",0.0930138955423359,0.0741387789850978,0.0226897501960817,"Replication",0.0897942841355259,0.072118368992941,0.0212897501960816,-0.00321961140681008,-0.00202040999215675,-0.00140000000000007
1000,0.75,"nonexact","GMM","Authors",0.114671452299303,0.0848734670101962,0.0442897501960815,"Replication",0.111275312946815,0.0860448930211768,0.0416897501960816,-0.00339613935248761,0.00117142601098057,-0.00259999999999994
1000,0.9,"exact","oracle-GMM","Authors",0.139128471215115,0.10671031310892,0.0667515655446009,"Replication",0.131345720722376,0.101617219176244,0.062551565544601,-0.00778275049273883,-0.00509309393267605,-0.00419999999999998
1000,0.9,"fullgmm","full-GMM","Authors",0.432021176534995,0.368188839911324,0.349551565544601,"Replication",0.438614452200154,0.373281933844,0.362551565544601,0.00659327566515872,0.00509309393267604,0.0129999999999999
1000,0.9,"hdm","DML-IVQR","Authors",0.164926018388931,0.12315307553585,0.0731515655446007,"Replication",0.161436565415738,0.120448250487136,0.0709515655446009,-0.00348945297319328,-0.00270482504871361,-0.00219999999999976
1000,0.9,"nonexact","GMM","Authors",0.348146934071943,0.196715801169127,0.161351565544601,"Replication",0.301679571642474,0.190094419955662,0.160151565544601,-0.0464673624294688,-0.00662138121346478,-0.00119999999999987
500,0.1,"exact","oracle-GMM","Authors",0.188846133837236,0.151034438352488,-0.0893515655446008,"Replication",0.200143812078398,0.158010976120413,-0.109551565544601,0.0112976782411621,0.00697653776792487,-0.0202
500,0.1,"fullgmm","full-GMM","Authors",0.764835294818159,0.664575027776676,-0.653351565544601,"Replication",0.764271971870038,0.668027440301033,-0.659351565544601,-0.000563322948121447,0.0034524125243568,-0.00600000000000001
500,0.1,"hdm","DML-IVQR","Authors",0.31127878354956,0.238911639131906,-0.203951565544601,"Replication",0.308605197648161,0.242626114278047,-0.212551565544601,-0.00267358590139827,0.00371447514614084,-0.0086
500,0.1,"nonexact","GMM","Authors",0.496335127134216,0.255929613303775,-0.177551565544601,"Replication",0.414331626295514,0.247286850876845,-0.176951565544601,-0.0820035008387027,-0.00864276242692957,0.000600000000000017
500,0.25,"exact","oracle-GMM","Authors",0.121080813377661,0.0966775490086276,-0.0334897501960817,"Replication",0.116297259943275,0.0939346880250985,-0.0388897501960817,-0.00478355343438609,-0.00274286098352913,-0.00540000000000002
500,0.25,"fullgmm","full-GMM","Authors",0.271243806065074,0.22129793211608,-0.187689750196082,"Replication",0.292747952404555,0.245779563123139,-0.209089750196082,0.0215041463394813,0.0244816310070589,-0.0214
